item_code,pack_type,name,units_per_box,pieces_per_unit,mrp_per_piece,section_code,opening_boxes
06A,,10/- LADDU (8) 36 NEW,36,8,10.0,S-10,0
01A,,5/- BOONDI LADDU (11J),,11,5.0,S-10,57.0
03A,,5/- BOONDI LADDU (12) 24,24,12,5.0,S-10,2.0
166,,5/- BOONDI CHIKKI (12)32 NEW,32,12,5.0,S-7,0
364,,5/- NOOGU CHIKKI(12) 40 NEW,40,12,5.0,S-7,0
33A,,5/- HALWA (12)32,32,12,5.0,S-5,9.0
192,,5/- SOAN PAPIDI (50) 6 NEW,6,50,5.0,S-5,0
31A,,5/- SOANPAPIDI(12)32,32,12,5.0,S-5,47.0
197,,LOOSE BADAM PAPIDI (40GMS) 9KG,,1,,S-5,-2.0
370,,TOP (8 ),,8,,S-5,52.0
45A,,5/- BESIN NICE (60)6,6,60,5.0,S-6,3.0
49A,,5/- MIXING NICE (12)32,32,12,5.0,S-6,22.0
134A,,5/- BONDALU (8),,8,5.0,S-13,0
193,,5/- CHERUKU MUKKALU (11),,11,5.0,S-13,13.0
56A,,5/- KAJA PURI (38) 6,6,38,5.0,S-13,169.0
60A,,5/- SAMOSA(40) 6,6,40,5.0,S-13,0
151,,5/- SWEET KANNU (8),,8,5.0,S-13,0
81A,,2/- SUNNUNDA (6J),,6,2.0,S-11,2.0
93D,,1/- BULLET (12),,12,1.0,OTHERS (PALA KOVA),22.0
87B,,5/- PALA KOVA (12) 36,36,12,5.0,OTHERS (PALA KOVA),53.0
87A,,5/- PALAKOVA (12) 40 NEW,40,12,5.0,OTHERS (PALA KOVA),4.0
275,,170 GM GULLAPAKODI (50P),,50,,S-9,0
270,,200 GM RED BATANI (40),,40,,S-9,0
273,,200 gm SP BOONDI (40) NEW,,40,,S-9,5.0
272,,200 gm.MIXTURE (40) NEW,,40,,S-9,0
269,,200G CHEKODI (40P),,40,,S-9,-4.0
347,,200G DALLMUDI (40),,40,,S-9,0
271,,200G GREEN BATANI (40P),,40,,S-9,0
368,,250 GM.MIXTURE (40) NEW,,40,,S-9,0
231,,350Gr CHEKODI(20),,20,,S-9,0
232,,350Gr GULLA PAKODI(30),,30,,S-9,0
235,,450 gm DALLMUDI (30),,30,,S-9,0
300,,450 GM ORD BOONDI (30) NEW,,30,,S-9,0
350,,450 GM.CHEKODI (20),,20,,S-9,8.0
237,,450GMS G BATANI (30),,30,,S-9,0
238,,450Gr MICTURE (30),,30,,S-9,1.0
267,,450Gr RED BATANI(30),,30,,S-9,0
239,,450Gr SP BOONDI (30),,30,,S-9,0
240,,500 GM BHUVANAGIRI (10),,10,,S-9,7.0
241,,500 GM GATIYYA (10P) NEW,,10,,S-9,9.0
242,,500 GM GREEN BATANI(30),,30,,S-9,0
243,,500 GM RED BATANI (30),,30,,S-9,0
244,,500 GM SP BOONDI (20) NEW,,20,,S-9,0
245,,500G MIXTURE (20P) NEW,,20,,S-9,0
246,,500gm GULLAPAKODI (20),,20,,S-9,0
247,,500gm GULLAPAKODI (30),,30,,S-9,0
248,,500GR CHEKKA PAKODI (8P) NEW,,8,,S-9,0
249,,500Gr CHEKODI(20),,20,,S-9,0
250,,500Gr DALLMUDI (20),,20,,S-9,0
251,,500Gr DALMUDI (30) NEW,,30,,S-9,0
252,,500Gr SP BOONDI (30),,30,,S-9,0
228,,900 G M.MIXTURE (20),,20,,S-9,1.0
253,,900Gr DALMUDI(15),,15,,S-9,0
254,,900Gr GREEN BATANI (15),,15,,S-9,0
255,,900Gr ORD BOONDI(20),,20,,S-9,0
256,,900Gr RED BATANI (15) NEW,,15,,S-9,0
257,,900Gr SP BOONDI(20),,20,,S-9,4.0
258,,KG CHEKODI (10),,10,,S-9,0
375,,KG RED BATANI (10),,10,,S-9,-0.667
266,,KG. SP BOONDI (20),,20,,S-9,1.0
278,,KG.MIXTURE (20) NEW,,20,,S-9,0
277,,KG.ORD BOONDI(20) NEW,,20,,S-9,0
351,,SMALL BOONDI (50)NEW,,50,,S-9,0
262,,SMALL CHEKODI (50),,50,,S-9,1.0
353,,SMALL DALLMUDI (50) NEW,,50,,S-9,0
263,,SMALL GREEN BATANI (50),,50,,S-9,0
354,,SMALL MIXTURE (50),,50,,S-9,0
264,,SMALL NAMKIN (50),,50,,S-9,0
265,,SMALL NAMKIN (60),,60,,S-9,0
355,,SMALL RED BATANI (50),,50,,S-9,0
159,,200 GM FLOWER (25),,25,,S-8,-2.0
2291,,250G CHAKKARALU (25P),,25,,S-8,0
2701,,5/- CHAKRALU FLOWER (12C) 20 PACK,,12,5.0,S-8,0
163,,SMALL FLOWER (40),,40,,S-8,0
372,,5/- R.K.BISCUITS (BOOST)6,6,1,5.0,R.K.BAKERY,0
107A,,5/- CHACOLATE CAKE (40) 6,6,40,5.0,R.K.BAKERY,3.0
2712,,5/- CUP CAKE (12)25,25,12,5.0,R.K.BAKERY,0
138A,,5/- FRUIT CAKE (28) (8J),,28,5.0,R.K.BAKERY,7.0
183,,5/- FRUIT CAKE (30)6,6,30,5.0,R.K.BAKERY,0
183A,,5/- FRUIT CAKE (40) 6,6,40,5.0,R.K.BAKERY,14.0
293,,5/- GORU METU (38)6,6,38,5.0,R.K.BAKERY,15.0
109A,,5/- KAJJI KAYA (12),,12,5.0,R.K.BAKERY,2.0
356,,5/- ROLL CAKE (12)30,30,12,5.0,R.K.BAKERY,0
141,,5/- SLICE CAKE (30)6,6,30,5.0,R.K.BAKERY,1.997
140A,,5/- SWEET TOMATO (24) NEW,,24,5.0,R.K.BAKERY,4.0
