item_code,pack_type,name,units_per_box,pieces_per_unit,mrp_per_piece,section_code
1,JAR,5/- BOONDI LADDU (8),8,8,5.0,S-10
43,LB,5/- MIXING BURFI (24) 21,21,24,5.0,S-4
2,PACK,5/- BOONDI LADDU (12) 48,48,12,5.0,S-10
44,LB,5/- MIXING BURFI (12) 32,32,12,5.0,S-4
3,LB,5/- BOONDI LADDU (12) 21,21,12,5.0,S-10
44A,KG,LOOSE BURFI,10,1,,
4,JAR,5/- ANNAMAYYA LADDU (8),8,8,5.0,S-10
45,JAR,5/- BESIN NICE (8),8,8,5.0,S-6
5,LB,5/- ANNAMAYYA LADDU (12) 21,21,12,5.0,S-10
46,JAR,5/- MILK NICE (8),8,8,5.0,S-6
6,LB,10/- LADDU (6),30,6,10.0,S-10
47,JAR,5/- D/C NICE (8),8,8,5.0,S-6
6A,KG,LOOSE LADDU (12KG),12,1,,
48,JAR,5/- KARJOORA NICE (8),8,8,5.0,S-6
6B,KG,LOOSE ANNAMAIAH LADDU,12,1,,
49,JAR,5/- MIXING NICE (8),8,8,5.0,S-6
7,PACK,2/- H.T. MYSORE PAK (24) 40,40,24,2.0,S-1
50,JAR,2/- BESIN NICE (40) 15,15,40,2.0,S-6
8,PACK,5/- H.T. MYSORE PAK (12) 32,32,12,5.0,S-1
51,JAR,2/- MILK NICE (40) 15,15,40,2.0,S-6
9,LB,5/- H.T. MYSORE PAK (12) 24,24,12,5.0,S-1
52,JAR,2/- D/C NICE (40) 15,15,40,2.0,S-6
10,JAR,5/- H.T. MYSORE PAK (8),8,8,5.0,S-2
53,JAR,2/- KARJOORA NICE (40) 15,15,40,2.0,S-6
11,LB,5/- H.T. (24) 21,21,24,5.0,S-2
54,JAR,2/- MIXING NICE (40) 15,15,40,2.0,S-6
12,LB,5/- H.T. (20) 21,21,20,5.0,S-2
54A,LB,5/- MIXING NICE (12) 32,32,12,5.0,
13,JAR,5/- SP H.T,8,1,5.0,
55,JAR,1/- BURFI (80) 15,15,80,1.0,S-4
14,LB,5/- DRY FRUIT LADDU (12) 21,21,12,5.0,S-2
56,JAR,5/- KAJA PURI (8),8,8,5.0,S-13
15,JAR,5/- PALLI CHIKKI (8),8,8,5.0,S-7
57,PACK,5/- KAJA PKTS (12) 24P,24,12,5.0,S-13
16,JAR,5/- NOOGU CHIKKI (8),8,8,5.0,S-7
58,JAR,5/- BADUSHA (8),8,8,5.0,S-13
17,JAR,5/- JEEDI CHIKKI (8),8,8,5.0,S-7
59,PACK,5/- BADUSHA (12) 30,30,12,5.0,S-13
18,JAR,5/- BOONDI CHIKKI (8),8,8,5.0,S-7
60,JAR,5/- SAMOSA,8,1,5.0,S-13
19,JAR,5/- POOSA CHIKKI (8),8,8,5.0,S-7
61,JAR,5/- BALL PIN (8),8,8,5.0,S-13
20,JAR,5/- ROUND PALLI CHIKKI (8),8,8,5.0,
62,PACK,5/- BALL PIN (12) 25,25,12,5.0,S-13
21,JAR,5/- ROUND NOOGU CHIKKI (8),8,8,5.0,S-7
63,JAR,5/- RAVA KAJURA (8),8,8,5.0,S-13
22,PACK,5/- PALLI CHIKKI (12) 20,20,12,5.0,S-7
64,PACK,5/- RAVVA KAJURA PAK (12) 25,25,12,5.0,S-13
23,PACK,5/- NOOGU CHIKKI (12) 20,20,12,5.0,S-7
65,JAR,5/- CHERUKU PULLA,11,1,5.0,S-13
24,JAR,1/- PALLI CHIKKI (80) 15,15,80,1.0,S-7
66,LB,5/- KAJA (12) 21,21,12,5.0,S-13
25,JAR,1/- NOOGU CHIKKI (80) 15,15,80,1.0,S-7
67,JAR,2/- KAJA PURI (95),8,95,2.0,S-13
27,JAR,5/- MULTI MILLET CHIKKI (8),8,8,5.0,S-7
67A,JAR,5/- SWEET MOON (8),8,8,5.0,S-13
27A,LB,5/- JEEDI CHIKKI (12) 32,32,12,5.0,S-7
68,PACK,5/- PALLI VUNDALU (12) 60,60,12,5.0,
27B,LB,5/- PALLI CHIKKI (12) 32,32,12,5.0,S-7
69,PACK,5/- SP PALLI VUNDALU (12) 60,60,12,5.0,
27C,LB,5/- NOOGU CHIKKI (12) 32,32,12,5.0,S-7
70,PACK,5/- NOOGU UNDALU (60),60,60,5.0,
27D,LB,5/- BOONDI CHIKKI (12) 32,32,12,5.0,S-7
71,PACK,5/- BOONDI VUNDALU (12) 40,40,12,5.0,
29,JAR,1/- SOAN PAPIDI (55) 15,15,55,1.0,S-5
72,PACK,5/- PUTANI UNDA (50),50,50,5.0,
