item_code,section_code,opening_boxes
6,S-10,6.0
06A,S-10,0
5,S-10,9.0
4,S-10,0
01A,S-10,57.0
03A,S-10,2.0
2,S-10,4.0
3,S-10,38.0
1,S-10,48.0
7,S-1,0
9,S-1,16.0
8,S-1,0
25,S-7,5.0
24,S-7,7.0
27D,S-7,0
166,S-7,0
18,S-7,8.0
27A,S-7,9.0
17,S-7,36.0
27,S-7,0
23,S-7,14.0
16,S-7,0
364,S-7,0
27C,S-7,5.0
22,S-7,19.0
15,S-7,56.0
27B,S-7,27.0
27C,S-7,9.0
19,S-7,0
21,S-7,0
29,S-5,0
30,S-5,0
36,S-5,5.0
32,S-5,0
33A,S-5,9.0
33,S-5,36.0
192,S-5,0
37,S-5,1.0
31,S-5,97.0
31A,S-5,47.0
197,S-5,-2.0
370,S-5,52.0
55,S-4,0
38,S-4,1.0
41,S-4,21.0
40,S-4,10.0
39,S-4,0
42,S-4,14.0
44,S-4,-1.0
43,S-4,0
50,S-6,42.0
52,S-6,0
53,S-6,0
51,S-6,12.0
54,S-6,0
45A,S-6,3.0
45,S-6,7.0
47,S-6,13.0
48,S-6,12.0
46,S-6,11.0
49A,S-6,22.0
49,S-6,-1.0
67,S-13,9.0
59,S-13,15.0
58,S-13,23.0
62,S-13,18.0
61,S-13,8.0
134A,S-13,0
193,S-13,13.0
65,S-13,0
57,S-13,133.0
56A,S-13,169.0
56,S-13,5.0
66,S-13,7.0
63,S-13,0
64,S-13,1.0
60A,S-13,0
151,S-13,0
67A,S-13,18.0
60,S-13,7.0
77A,,20.0
71,,24.0
70,,7.0
75,,0
68,,0
74,,0
73,,0
72,,15.0
69,,0
77,,20.0
80,S-11,0
83A,S-11,0
83B,S-11,3.0
81A,S-11,2.0
81,S-11,0
82,S-11,73.0
83,S-11,27.0
82A,S-11,3.0
93D,,22.0
93,,0
92,,0
91,,0
91A,,10.0
86,,110.0
85,,21.0
93B,,0
90,,10.0
89,,0
88,,24.0
87B,,53.0
87,,10.0
84,,148.0
87A,,4.0
275,S-9,0
270,S-9,0
273,S-9,5.0
272,S-9,0
269,S-9,-4.0
347,S-9,0
271,S-9,0
368,S-9,0
231,S-9,0
232,S-9,0
235,S-9,0
300,S-9,0
350,S-9,8.0
237,S-9,0
238,S-9,1.0
267,S-9,0
239,S-9,0
240,S-9,7.0
241,S-9,9.0
242,S-9,0
243,S-9,0
244,S-9,0
245,S-9,0
246,S-9,0
247,S-9,0
248,S-9,0
249,S-9,0
250,S-9,0
251,S-9,0
252,S-9,0
251,S-9,0
228,S-9,1.0
252,S-9,0
253,S-9,0
254,S-9,0
255,S-9,0
256,S-9,0
257,S-9,4.0
258,S-9,0
375,S-9,-0.667
266,S-9,1.0
278,S-9,0
277,S-9,0
351,S-9,0
262,S-9,1.0
353,S-9,0
263,S-9,0
354,S-9,0
264,S-9,0
265,S-9,0
355,S-9,0
119A,S-8,0
119B,S-8,1.0
113,S-8,83.0
114,S-8,88.0
115,S-8,106.0
119,S-8,0
119A,S-8,6.0
119C,S-8,0
159,S-8,-2.0
2291,S-8,0
116,S-8,14.0
117,S-8,20.0
118,S-8,2.0
2701,S-8,0
163,S-8,0
119G,S-8,0
119H,S-8,0
14,S-2,0
12,S-2,0
11,S-2,0
10,S-2,50.0
79,S-3,0
78,S-3,0
120,,0
123,,4.0
124,,39.0
372,,0
133,,0
125,,17.0
126,,26.0
127,,9.0
134,,0
128,,10.0
129,,19.0
121,,1.0
130,,6.0
135,,0
131,,0
132,,-1.0
94,,5.0
102,,93.0
96,,41.0
97,,0
98,,28.0
99,,119.0
106,,14.0
107A,,3.0
100,,150.0
101,,12.0
136,,36.0
103,,9.0
105,,87.0
104A,,33.0
104,,2.0
2712,,0
137,,9.0
138,,66.0
138A,,7.0
183,,0
183A,,14.0
108,,0
293,,15.0
107,,13.0
109A,,2.0
109,,48.0
110,,173.0
356,,0
139,,38.0
141,,1.997
140A,,4.0
140,,25.0
111,,7.0
112,,63.0
