item_code,section_name,opening_boxes
06A,RAMA KRISHNA MESTRI,0
01A,RAMA KRISHNA MESTRI,57.0
03A,RAMA KRISHNA MESTRI,2.0
166,CHIKKI RAKALU (SUNIL),0
364,CHIKKI RAKALU (SUNIL),0
33A,PAPIDI RAKALU,9.0
192,PAPIDI RAKALU,0
31A,PAPIDI RAKALU,47.0
197,PAPIDI RAKALU,-2.0
370,PAPIDI RAKALU,52.0
45A,NAGA RAJU MESTRY,3.0
49A,NAGA RAJU MESTRY,22.0
134A,MAIDA RAKALU,0
193,MAIDA RAKALU,13.0
56A,MAIDA RAKALU,169.0
60A,MAIDA RAKALU,0
151,MAIDA RAKALU,0
81A,GIRI GARU (SUNNUNDA),2.0
93D,OTHERS (PALA KOVA),22.0
87B,OTHERS (PALA KOVA),53.0
87A,OTHERS (PALA KOVA),4.0
275,TIPU (KARA RAKALU),0
270,TIPU (KARA RAKALU),0
273,TIPU (KARA RAKALU),5.0
272,TIPU (KARA RAKALU),0
269,TIPU (KARA RAKALU),-4.0
347,TIPU (KARA RAKALU),0
271,TIPU (KARA RAKALU),0
368,TIPU (KARA RAKALU),0
231,TIPU (KARA RAKALU),0
232,TIPU (KARA RAKALU),0
235,TIPU (KARA RAKALU),0
300,TIPU (KARA RAKALU),0
350,TIPU (KARA RAKALU),8.0
237,TIPU (KARA RAKALU),0
238,TIPU (KARA RAKALU),1.0
267,TIPU (KARA RAKALU),0
239,TIPU (KARA RAKALU),0
240,TIPU (KARA RAKALU),7.0
241,TIPU (KARA RAKALU),9.0
242,TIPU (KARA RAKALU),0
243,TIPU (KARA RAKALU),0
244,TIPU (KARA RAKALU),0
245,TIPU (KARA RAKALU),0
246,TIPU (KARA RAKALU),0
247,TIPU (KARA RAKALU),0
248,TIPU (KARA RAKALU),0
249,TIPU (KARA RAKALU),0
250,TIPU (KARA RAKALU),0
251,TIPU (KARA RAKALU),0
252,TIPU (KARA RAKALU),0
251,TIPU (KARA RAKALU),0
228,TIPU (KARA RAKALU),1.0
252,TIPU (KARA RAKALU),0
253,TIPU (KARA RAKALU),0
254,TIPU (KARA RAKALU),0
255,TIPU (KARA RAKALU),0
256,TIPU (KARA RAKALU),0
257,TIPU (KARA RAKALU),4.0
258,TIPU (KARA RAKALU),0
375,TIPU (KARA RAKALU),-0.667
266,TIPU (KARA RAKALU),1.0
278,TIPU (KARA RAKALU),0
277,TIPU (KARA RAKALU),0
351,TIPU (KARA RAKALU),0
262,TIPU (KARA RAKALU),1.0
353,TIPU (KARA RAKALU),0
263,TIPU (KARA RAKALU),0
354,TIPU (KARA RAKALU),0
264,TIPU (KARA RAKALU),0
265,TIPU (KARA RAKALU),0
355,TIPU (KARA RAKALU),0
159,TIPU (CHAKRALU),-2.0
2291,TIPU (CHAKRALU),0
2701,TIPU (CHAKRALU),0
163,TIPU (CHAKRALU),0
372,R.K.BAKERY,0
107A,R.K.BAKERY,3.0
2712,R.K.BAKERY,0
138A,R.K.BAKERY,7.0
183,R.K.BAKERY,0
183A,R.K.BAKERY,14.0
293,R.K.BAKERY,15.0
109A,R.K.BAKERY,2.0
356,R.K.BAKERY,0
141,R.K.BAKERY,1.997
140A,R.K.BAKERY,4.0
